str_code,spu_code,sub_cate_name,cluster_id,current_spu_count,target_spu_count,excess_quantity,step7_increase,step8_increase,step9_increase,reduction_allowed,is_core_subcategory,rule10_applied,rule10_reason,recommended_quantity_change
11017,SPU_毛呢大_00002,毛呢大衣,12,21.313738097609278,13.960953565246513,7.352784532362765,False,False,False,True,False,True,Overcapacity reduction: -7.4 units,-7.352784532362765
11021,SPU_针织衫_00004,针织衫,12,13.03353965277479,9.830812274830729,3.2027273779440613,False,False,False,True,False,True,Overcapacity reduction: -3.2 units,-3.2027273779440613
11029,SPU_T恤_00005,T恤,12,16.365986741831644,14.478426481760142,1.8875602600715027,False,False,False,True,False,True,Overcapacity reduction: -1.9 units,-1.8875602600715027
11036,SPU_短袖_00007,短袖,12,3.7565474645348047,3.0005674009672103,0.7559800635675944,False,False,True,False,False,False,BLOCKED: Step 9 applied increase,0.0
11041,SPU_配饰_00009,配饰,29,16.153799533843873,10.642040081782655,5.511759452061218,False,False,False,True,False,True,Overcapacity reduction: -5.5 units,-5.511759452061218
11046,SPU_束脚裤_00011,束脚裤,20,6.100332949444779,5.466301438683094,0.6340315107616847,False,False,True,False,True,False,BLOCKED: Step 9 applied increase,0.0
11059,SPU_夹克_00016,夹克,16,14.500122246403869,9.169405012064882,5.330717234338987,False,False,False,True,False,True,Overcapacity reduction: -5.3 units,-5.330717234338987
11067,SPU_T恤_00018,T恤,23,8.033559640815694,5.208690032446654,2.82486960836904,False,False,False,True,False,True,Overcapacity reduction: -2.8 units,-2.82486960836904
11072,SPU_短袖_00020,短袖,20,20.763683413609375,13.14373504415096,7.619948369458415,False,False,False,True,False,True,Overcapacity reduction: -7.6 units,-7.619948369458415
11080,SPU_内衣_00021,内衣,6,20.996324850294847,15.81493979457603,5.181385055718817,False,False,False,True,False,True,Overcapacity reduction: -5.2 units,-5.181385055718817
11096,SPU_锥形裤_00025,锥形裤,6,22.98184949126638,17.16366859569498,5.818180895571402,False,False,False,True,True,True,Overcapacity reduction: -4.6 units,-4.596369898253276
11100,SPU_羽绒服_00026,羽绒服,23,17.786982042929328,14.55802056059561,3.228961482333718,False,False,False,True,False,True,Overcapacity reduction: -3.2 units,-3.228961482333718
11102,SPU_棉服_00027,棉服,23,16.937653636739682,14.407011487702247,2.530642149037435,False,False,False,True,False,True,Overcapacity reduction: -2.5 units,-2.530642149037435
11124,SPU_短裤_00032,短裤,29,22.80919725759327,16.07507537603009,6.73412188156318,True,False,False,False,False,False,BLOCKED: Step 7 recommended addition,0.0
11128,SPU_内衣_00034,内衣,29,16.34143931251098,13.057635755593477,3.2838035569175013,False,False,False,True,False,True,Overcapacity reduction: -3.3 units,-3.2838035569175013
11132,SPU_束脚裤_00037,束脚裤,12,5.060844892218034,3.406945057465561,1.653899834752473,False,False,True,False,True,False,BLOCKED: Step 9 applied increase,0.0
11134,SPU_羽绒服_00039,羽绒服,13,7.295345731556979,4.430425453508503,2.8649202780484755,False,False,False,True,False,True,Overcapacity reduction: -2.9 units,-2.8649202780484755
11138,SPU_夹克_00042,夹克,12,21.72500677337085,16.66395742352124,5.061049349849611,False,False,False,True,False,True,Overcapacity reduction: -5.1 units,-5.061049349849611
11158,SPU_配饰_00048,配饰,13,9.303907546822257,5.686589756642542,3.6173177901797153,False,False,False,True,False,True,Overcapacity reduction: -3.6 units,-3.6173177901797153
12022,SPU_夹克_00055,夹克,0,10.831398930327754,6.876008080464732,3.955390849863022,False,False,False,True,False,True,Overcapacity reduction: -4.0 units,-3.955390849863022
12027,SPU_T恤_00057,T恤,25,6.810441138020334,5.344527935600802,1.4659132024195314,False,False,False,True,False,True,Overcapacity reduction: -1.5 units,-1.4659132024195314
12030,SPU_短袖_00059,短袖,0,4.552512442809457,3.5315326524180892,1.0209797903913675,False,False,True,False,False,False,BLOCKED: Step 9 applied increase,0.0
12033,SPU_配饰_00061,配饰,24,24.14619240412611,14.990158837375334,9.156033566750777,False,False,False,True,False,True,Overcapacity reduction: -9.2 units,-9.156033566750777
12034,SPU_直筒裤_00062,直筒裤,4,5.0777451366304245,3.532550168606586,1.5451949680238384,True,False,True,False,True,False,BLOCKED: Step 7 recommended addition,0.0
12037,SPU_束脚裤_00063,束脚裤,11,20.91830661695659,16.9233524671289,3.994954149827688,True,False,False,False,True,False,BLOCKED: Step 7 recommended addition,0.0
12038,SPU_锥形裤_00064,锥形裤,25,19.17156296368549,12.523475793957466,6.648087169728022,True,False,False,False,True,False,BLOCKED: Step 7 recommended addition,0.0
12039,SPU_羽绒服_00065,羽绒服,12,24.791113124014814,20.649110336620723,4.142002787394091,False,False,False,True,False,True,Overcapacity reduction: -4.1 units,-4.142002787394091
