str_code,spu_code,sub_cate_name,category_type,cluster_id,current_spu_count,target_spu_count,eligibility_status,excess_quantity,is_overcapacity,original_reduction,original_recommended
S01000,SPU_羽绒服_0000,羽绒服,winter,4,19.26071459614874,21.56683263708517,INELIGIBLE,-2.306118040936429,False,0.0,False
S01001,SPU_棉服_0001,棉服,winter,2,7.33991780504304,6.311249197428925,INELIGIBLE,1.0286686076141152,True,1.0286686076141152,True
S01002,SPU_毛呢大_0002,毛呢大衣,winter,4,7.143002268829112,7.223591876224874,INELIGIBLE,-0.08058960739576193,False,0.0,False
S01003,SPU_夹克_0003,夹克,transition,4,19.078290635236254,17.125884531081393,INELIGIBLE,1.9524061041548606,True,1.9524061041548606,True
S01004,SPU_针织衫_0004,针织衫,transition,1,9.563633644393066,10.389826426955812,INELIGIBLE,-0.826192782562746,False,0.0,False
S01005,SPU_T恤_0005,T恤,summer,1,12.871619903875837,7.9031707461598835,ELIGIBLE,4.968449157715954,True,4.968449157715954,True
S01006,SPU_短裤_0006,短裤,summer,4,10.495427649405375,12.143579148375911,ELIGIBLE,-1.6481514989705364,False,0.0,False
S01007,SPU_短袖_0007,短袖,summer,3,10.73692986900744,11.739249959059153,ELIGIBLE,-1.0023200900517129,False,0.0,False
S01008,SPU_内衣_0008,内衣,all_season,5,14.113172778521575,8.743328978508737,ELIGIBLE,5.369843800012838,True,5.369843800012838,True
S01009,SPU_配饰_0009,配饰,all_season,4,19.133026335272792,20.607863153901782,ELIGIBLE,-1.4748368186289902,False,0.0,False
S01010,SPU_直筒裤_0010,直筒裤,core,2,6.465081710095758,7.034206077481545,ELIGIBLE,-0.5691243673857871,False,0.0,False
S01011,SPU_束脚裤_0011,束脚裤,core,4,12.427653651669052,10.846807895630896,ELIGIBLE,1.5808457560381566,True,1.5808457560381566,True
S01012,SPU_锥形裤_0012,锥形裤,core,4,7.733541316820935,8.39113342111437,ELIGIBLE,-0.6575921042934354,False,0.0,False
S01013,SPU_羽绒服_0013,羽绒服,winter,2,13.515504917299872,11.52447415422158,INELIGIBLE,1.9910307630782924,True,1.9910307630782924,True
S01014,SPU_棉服_0014,棉服,winter,4,19.092484123462835,21.375563294036716,INELIGIBLE,-2.283079170573881,False,0.0,False
S01015,SPU_毛呢大_0015,毛呢大衣,winter,4,5.678409333658071,4.069166225060945,INELIGIBLE,1.6092431085971262,True,1.6092431085971262,True
S01016,SPU_夹克_0016,夹克,transition,2,13.095381985836196,15.623459378332111,INELIGIBLE,-2.5280773924959146,False,0.0,False
