status,reason,current_quantity,minimum_threshold,minimum_reference_source,recommended_increase,recommended_quantity_change,sell_through_valid,eligibility_status,adjusted_by_step8,is_core_subcategory,rule9_applied,rule9_reason,str_code,spu_code,sub_cate_name,category_type,cluster_id
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.8759278817295955,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.88, threshold=1.00 (global_fallback), increase=+1",S01002,SPU_毛呢大_0002,毛呢大衣,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.4961415280890162,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.50, threshold=1.00 (global_fallback), increase=+1",S01007,SPU_短袖_0007,短袖,summer,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.4961415280890162,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.50, threshold=1.00 (global_fallback), increase=+1",S01007,SPU_短袖_0007,短袖,summer,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.4961415280890162,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.50, threshold=1.00 (global_fallback), increase=+1",S01007,SPU_短袖_0007,短袖,summer,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.4961415280890162,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.50, threshold=1.00 (global_fallback), increase=+1",S01007,SPU_短袖_0007,短袖,summer,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.4961415280890162,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.50, threshold=1.00 (global_fallback), increase=+1",S01007,SPU_短袖_0007,短袖,summer,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.3602642646106115,1.0,global_fallback,1.0,1,True,UNKNOWN,False,True,True,"Below minimum: current=0.36, threshold=1.00 (global_fallback), increase=+1",S01010,SPU_直筒裤_0010,直筒裤,core,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.3602642646106115,1.0,global_fallback,1.0,1,True,UNKNOWN,False,True,True,"Below minimum: current=0.36, threshold=1.00 (global_fallback), increase=+1",S01010,SPU_直筒裤_0010,直筒裤,core,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.3602642646106115,1.0,global_fallback,1.0,1,True,UNKNOWN,False,True,True,"Below minimum: current=0.36, threshold=1.00 (global_fallback), increase=+1",S01010,SPU_直筒裤_0010,直筒裤,core,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.3602642646106115,1.0,global_fallback,1.0,1,True,UNKNOWN,False,True,True,"Below minimum: current=0.36, threshold=1.00 (global_fallback), increase=+1",S01010,SPU_直筒裤_0010,直筒裤,core,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.66907356219892,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.67, threshold=1.00 (global_fallback), increase=+1",S01013,SPU_羽绒服_0013,羽绒服,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.66907356219892,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.67, threshold=1.00 (global_fallback), increase=+1",S01013,SPU_羽绒服_0013,羽绒服,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.66907356219892,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.67, threshold=1.00 (global_fallback), increase=+1",S01013,SPU_羽绒服_0013,羽绒服,winter,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.18631314159464357,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.19, threshold=1.00 (global_fallback), increase=+1",S01017,SPU_针织衫_0017,针织衫,transition,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.18631314159464357,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.19, threshold=1.00 (global_fallback), increase=+1",S01017,SPU_针织衫_0017,针织衫,transition,
BELOW_MINIMUM,Below minimum threshold (global_fallback),0.18631314159464357,1.0,global_fallback,1.0,1,True,UNKNOWN,False,False,True,"Below minimum: current=0.19, threshold=1.00 (global_fallback), increase=+1",S01017,SPU_针织衫_0017,针织衫,transition,
