str_code,spu_code,sub_cate_name,cluster_id,cluster_adoption,recommended_quantity,expected_investment,sell_through_validated,simulated_season,climate_gate_passed,time_gate_passed,suppression_reason,store_temperature,spu_temperature_band,current_season,final_recommendation
33519,ACCESSORY_0000,配饰,13,0.9169536500409153,5,396.4354168406294,True,all,True,True,,33.82378165321106,All,summer_peak,ADD
32426,TSHIRT_0001,T恤,9,0.80871254182523,8,734.0463611641414,True,summer,True,True,,41.464377692064495,Hot,summer_peak,ADD
13148,KNIT_0002,针织衫,41,0.8084617368540651,8,1681.6410175208014,True,transition,True,False,Cool products NOT appropriate for summer_peak,26.47382669114642,Cool,summer_peak,SUPPRESS_TIME
35124,JACKET_0003,夹克,15,0.8926222264441575,6,113.42597991746307,True,transition,True,False,Cool products NOT appropriate for summer_peak,24.736444384583397,Cool,summer_peak,SUPPRESS_TIME
32446,ACCESSORY_0004,配饰,3,0.8599791457572883,3,826.6777834076092,True,all,True,True,,31.624751522277595,All,summer_peak,ADD
36103,SHORT_SLV_0005,短袖,10,0.8069675619079997,3,1392.5843233167814,True,summer,True,True,,31.359264696068493,Hot,summer_peak,ADD
61023,PADDED_0006,棉服,41,0.942332830588,2,832.2913548258406,True,winter,True,False,Cold products NOT appropriate for summer_peak,33.917428422304496,Cold,summer_peak,SUPPRESS_TIME
37156,TSHIRT_0007,T恤,6,0.8914994986673931,8,165.33819011891495,True,summer,True,True,,36.90490614584985,Hot,summer_peak,ADD
61143,DOWN_0008,羽绒服,20,0.8388169972400026,8,1535.1866796035397,True,winter,True,False,Cold products NOT appropriate for summer_peak,31.955627227587343,Cold,summer_peak,SUPPRESS_TIME
61143,DOWN_0008,羽绒服,20,0.8388169972400026,8,1535.1866796035397,True,winter,True,False,Cold products NOT appropriate for summer_peak,32.143213148502326,Cold,summer_peak,SUPPRESS_TIME
34094,KNIT_0009,针织衫,21,0.8311912494302284,4,451.22346549850135,True,transition,True,False,Cool products NOT appropriate for summer_peak,36.363186846965384,Cool,summer_peak,SUPPRESS_TIME
33188,PADDED_0010,棉服,13,0.9162699235041671,2,850.7854484034474,True,winter,True,False,Cold products NOT appropriate for summer_peak,38.11675420047066,Cold,summer_peak,SUPPRESS_TIME
33743,SHORTS_0011,短裤,8,0.8855665961608099,9,1926.2268462637633,True,summer,True,True,,36.005525573773426,Hot,summer_peak,ADD
32210,JACKET_0012,夹克,3,0.8880126748495772,9,633.7755684060235,True,transition,True,False,Cool products NOT appropriate for summer_peak,31.35750011246025,Cool,summer_peak,SUPPRESS_TIME
32284,SHORT_SLV_0013,短袖,22,0.8444410258556124,1,129.70917280826848,True,summer,True,True,,34.97399648314536,Hot,summer_peak,ADD
37174,DOWN_0014,羽绒服,10,0.8298073522301259,8,126.75166315866046,True,winter,True,False,Cold products NOT appropriate for summer_peak,33.30717481411383,Cold,summer_peak,SUPPRESS_TIME
42083,DOWN_0015,羽绒服,10,0.9067012929122975,3,1565.413658703297,True,winter,True,False,Cold products NOT appropriate for summer_peak,30.498128755358415,Cold,summer_peak,SUPPRESS_TIME
44385,UNDERWEAR_0016,内衣,1,0.853769859281641,9,1838.4233835331834,True,all,True,True,,25.27664306933066,All,summer_peak,ADD
31026,SHORTS_0017,短裤,13,0.8674176011207305,1,220.7608655434449,True,summer,True,True,,35.033454865512596,Hot,summer_peak,ADD
44288,JACKET_0018,夹克,15,0.9094409267507096,8,621.971406681122,True,transition,True,False,Cool products NOT appropriate for summer_peak,31.771625815606196,Cool,summer_peak,SUPPRESS_TIME
43014,DOWN_0019,羽绒服,4,0.8574390312130685,3,1545.491592372105,True,winter,True,False,Cold products NOT appropriate for summer_peak,32.67843079328922,Cold,summer_peak,SUPPRESS_TIME
32502,TSHIRT_0020,T恤,3,0.8060650384307647,3,159.71545280479506,True,summer,True,True,,33.84726905997495,Hot,summer_peak,ADD
32593,TRENCH_0021,风衣,29,0.936134971088914,7,1248.3930206278528,True,transition,True,False,Cool products NOT appropriate for summer_peak,33.316716183497,Cool,summer_peak,SUPPRESS_TIME
44100,ACCESSORY_0022,配饰,15,0.8304591837102154,7,650.5277605361592,True,all,True,True,,32.01619455244636,All,summer_peak,ADD
44427,PADDED_0023,棉服,1,0.893653107220069,9,300.43909367751417,True,winter,True,False,Cold products NOT appropriate for summer_peak,33.67970053551281,Cold,summer_peak,SUPPRESS_TIME
33384,TRENCH_0024,风衣,13,0.9338838497734966,7,1802.573469854637,True,transition,True,False,Cool products NOT appropriate for summer_peak,35.556326182093805,Cool,summer_peak,SUPPRESS_TIME
61093,DOWN_0025,羽绒服,20,0.8408198374076953,9,1654.228055252737,True,winter,True,False,Cold products NOT appropriate for summer_peak,23.40979886235908,Cold,summer_peak,SUPPRESS_TIME
44321,WOOL_0026,毛呢大衣,1,0.8010428195796786,8,1114.7698968133398,True,winter,True,False,Cold products NOT appropriate for summer_peak,26.61071510302318,Cold,summer_peak,SUPPRESS_TIME
32137,JACKET_0027,夹克,21,0.9038654049335405,8,1891.5284374337864,True,transition,True,False,Cool products NOT appropriate for summer_peak,34.66996698649173,Cool,summer_peak,SUPPRESS_TIME
43147,SHORTS_0028,短裤,4,0.9054528438342767,1,223.29526950706497,True,summer,True,True,,31.018011656276176,Hot,summer_peak,ADD
32593,TSHIRT_0029,T恤,29,0.8745872758838579,1,381.3651669114598,True,summer,True,True,,33.316716183497,Hot,summer_peak,ADD
