str_code,spu_code,sub_cate_name,category_type,cluster_id,quantity,eligibility_status,adjusted_by_step8,recent_sales_units,sell_through_rate,original_below_minimum,original_recommended_increase
S01000,SPU_羽绒服_0000,羽绒服,winter,4,3.9279757672456204,INELIGIBLE,False,0.0,0.0,False,0
S01001,SPU_棉服_0001,棉服,winter,3,0.46739911357269376,INELIGIBLE,False,0.0,0.0,True,1
S01002,SPU_毛呢大_0002,毛呢大衣,winter,3,0.8759278817295955,INELIGIBLE,False,1.8182496720710062,0.14672360788274705,True,1
S01003,SPU_夹克_0003,夹克,transition,4,1.0282652208788696,INELIGIBLE,True,3.9986097171525548,0.03733253057089234,False,0
S01004,SPU_针织衫_0004,针织衫,transition,4,2.8242799368681437,INELIGIBLE,False,0.0,0.0,False,0
S01005,SPU_T恤_0005,T恤,summer,4,1.185801650879991,ELIGIBLE,False,0.0,0.0,False,0
S01006,SPU_短裤_0006,短裤,summer,2,4.862528132298237,ELIGIBLE,False,0.9767211400638387,0.5473864212097256,False,0
S01007,SPU_短袖_0007,短袖,summer,4,0.4961415280890162,ELIGIBLE,True,2.587799816000169,0.5300178274831856,True,1
S01008,SPU_内衣_0008,内衣,all_season,2,1.8317666514727553,ELIGIBLE,False,0.0,0.0,False,0
S01009,SPU_配饰_0009,配饰,all_season,2,4.757995766256757,ELIGIBLE,False,9.218742350231167,0.0707940016415356,False,0
S01010,SPU_直筒裤_0010,直筒裤,core,4,0.3602642646106115,ELIGIBLE,False,8.287375091519294,0.2854026613548714,True,1
S01011,SPU_束脚裤_0011,束脚裤,core,4,2.1039967280901735,ELIGIBLE,False,0.0,0.0,False,0
S01012,SPU_锥形裤_0012,锥形裤,core,1,4.08897907718663,ELIGIBLE,False,0.0,0.0,False,0
S01013,SPU_羽绒服_0013,羽绒服,winter,3,0.66907356219892,INELIGIBLE,False,9.26300878513349,0.5208616204015556,True,1
S01014,SPU_棉服_0014,棉服,winter,4,3.4931925073102317,INELIGIBLE,False,0.0,0.0,False,0
S01015,SPU_毛呢大_0015,毛呢大衣,winter,5,3.5502298854208525,INELIGIBLE,False,1.195942459383017,0.5705958297783961,False,0
S01016,SPU_夹克_0016,夹克,transition,1,1.943939678995823,INELIGIBLE,False,0.0,0.0,False,0
S01017,SPU_针织衫_0017,针织衫,transition,2,0.18631314159464357,INELIGIBLE,True,3.143559810763267,0.40685655293176226,True,1
S01018,SPU_T恤_0018,T恤,summer,5,0.4283063384285038,ELIGIBLE,False,0.7697990982879299,0.23180116233101444,True,1
S01019,SPU_短裤_0019,短裤,summer,4,4.232481518257668,ELIGIBLE,False,8.036720768991145,0.14925604710882867,False,0
S01020,SPU_短袖_0020,短袖,summer,3,1.4883518188026934,ELIGIBLE,False,2.721322493846353,0.5181520964330899,False,0
S01021,SPU_内衣_0021,内衣,all_season,1,4.442922333025374,ELIGIBLE,True,4.17411003148779,0.1776862483765842,False,0
S01022,SPU_配饰_0022,配饰,all_season,3,0.29530041779821936,ELIGIBLE,False,5.581020020173412,0.3230689368464327,True,1
S01023,SPU_直筒裤_0023,直筒裤,core,1,0.29750085027088097,ELIGIBLE,False,1.480869299533999,0.7981923880391535,True,1
S01024,SPU_束脚裤_0024,束脚裤,core,3,3.010716092915446,ELIGIBLE,True,9.082658859666537,0.19164951253357795,False,0
S01025,SPU_锥形裤_0025,锥形裤,core,2,2.7911326582923666,ELIGIBLE,False,0.8085332633271525,0.2957235648491236,False,0
S01026,SPU_羽绒服_0026,羽绒服,winter,1,2.471132530877013,INELIGIBLE,False,5.357746840747585,0.07223181604352664,False,0
S01027,SPU_棉服_0027,棉服,winter,1,0.5065590213925749,INELIGIBLE,False,3.2595890520188475,0.17619283805243866,True,1
S01028,SPU_毛呢大_0028,毛呢大衣,winter,2,1.9059831007917518,INELIGIBLE,False,0.0,0.0,False,0
S01029,SPU_夹克_0029,夹克,transition,1,3.0710054021099205,INELIGIBLE,False,7.3521611924077215,0.16725729659017097,False,0
S01030,SPU_针织衫_0030,针织衫,transition,2,0.6279872368273433,INELIGIBLE,False,5.296505783560065,0.19348183272036135,True,1
S01031,SPU_T恤_0031,T恤,summer,4,4.530545372757359,ELIGIBLE,False,7.003578299727713,0.6773289137906447,False,0
S01032,SPU_短裤_0032,短裤,summer,4,4.1195021834304955,ELIGIBLE,False,0.0,0.0,False,0
S01033,SPU_短袖_0033,短袖,summer,4,3.4257162386383597,ELIGIBLE,True,0.0,0.0,False,0
S01034,SPU_内衣_0034,内衣,all_season,3,2.1356838989498628,ELIGIBLE,False,4.4842414298624735,0.7955659700886566,False,0
S01035,SPU_配饰_0035,配饰,all_season,4,1.9489963499872003,ELIGIBLE,False,6.496328990472147,0.6793787283953424,False,0
S01036,SPU_直筒裤_0036,直筒裤,core,1,3.170160922219597,ELIGIBLE,False,2.5046181860558416,0.4718966780484351,False,0
S01037,SPU_束脚裤_0037,束脚裤,core,5,4.624395150874216,ELIGIBLE,False,6.451033620305648,0.5351392477304797,False,0
S01038,SPU_锥形裤_0038,锥形裤,core,1,0.6779616922092043,ELIGIBLE,False,0.0,0.0,True,1
S01039,SPU_羽绒服_0039,羽绒服,winter,1,0.8956404086378729,INELIGIBLE,False,8.83494022266259,0.5981750191179311,True,1
S01040,SPU_棉服_0040,棉服,winter,5,2.7127365932692573,INELIGIBLE,False,8.530094554673601,0.23555911365566856,False,0
S01041,SPU_毛呢大_0041,毛呢大衣,winter,5,0.3147798855121255,INELIGIBLE,False,3.9469146680947222,0.6753705125810492,True,1
S01042,SPU_夹克_0042,夹克,transition,3,1.3887059750830741,INELIGIBLE,False,1.4008401523652403,0.41466372189098943,False,0
